sabal	ˈsaː.bɐl
andaldal	ʔɐn̪.d̪ɐlˈd̪al
pagkasuplada	pɐɡ.kɐ.sʊpˈlaː.d̪ɐ
utab	ˈʔuː.t̪ɐb̚
esena	ʔɛˈsɛː.n̪ɐ
simuno	sɪˈmuː.n̪oʔ
dalubbanwahan	d̪ɐ.lʊb.bɐn̪ˈwaː.hɐn̪
kung sana	kʊn̪ ˈsaː.n̪ɐ
tapas	ˈt̪aː.pɐs
sinauna	sɪ.n̪ɐˈʔuː.n̪ɐ
nilalabhan	n̪ɪˌlaː.lɐbˈhan̪
titik	ˈt̪iː.t̪ɪk̚
darating	d̪ɐ.ɾɐˈt̪ɪŋ
ilusibo	ʔɪ.lʊˈsiː.bo
talisuyo	t̪ɐ.lɪˈsuː.joʔ
risonable	ɾɪ.soˈn̪aː.blɛ
uorin	ʔʊˈʔoː.ɾɪn̪
liripan	lɪˈɾiː.pɐn̪
sulid	ˈsuː.lɪd̪̚
kontador publiko	kon̪.t̪ɐˌd̪oɾ ˌpub.lɪˈxo
maikasatuparan	mɐ.ʔɪ.xɐ.sɐ.t̪ʊˈpaː.ɾɐn̪
taong-grasa	ˌt̪aː.ʔoŋ ˈɡɾaː.sɐ
respondente	ɾɛs.pon̪ˈd̪ɛn̪.t̪ɛ
agta	ʔɐɡˈt̪a
angil	ˈʔaː.ŋɪl
paupuin	pɐ.ʔʊ.pʊˈʔɪn̪
munay	ˈmuː.n̪aɪ̯
payagpag	pɐ.jɐɡˈpaɡ̚
bulgar	bʊlˈɡaɾ
sabunutan	sɐ.bʊˈn̪uː.t̪ɐn̪
iwanan	ʔɪˈwaː.n̪ɐn̪
tagain	t̪ɐ.ɣɐˈʔɪn̪
pusible	pʊˈsiː.blɛ
pataraka	pɐ.t̪ɐˈɾaː.xɐ
paksa	pɐkˈsaʔ
imoralidad	ʔɪ.mo.ɾɐ.lɪˈd̪ad̪̚
bilingbiling	bɪˌlim.bɪˈlɪŋ
sigid	sɪˈɣɪd̪̚
marakulyo	mɐ.ɾɐˈxul.jo
makitir ang utak	mɐˌxiː.t̪ɪɾ ʔɐŋ ˈʔuː.t̪ɐk̚
hampas-lupa	hɐmˌpas ˈluː.pɐʔ
igba	ʔɪɡˈba
ma- -an	mɐ ɐn̪
abente otso	ʔɐˌbɛn̪.t̪ɛ ˈʔoː.t͡ʃo
intensiyon	ʔɪn̪.t̪ɛn̪ˈʃon̪
badap	bɐˈd̪ap̚
krisoprasyo	kɾɪ.sopˈɾaː.ʃo
sa kabila ng	sɐ xɐ.bɪˈlaʔ n̪ɐŋ
tikin	t̪ɪˈxɪn̪
ligaw na bala	lɪˌɣaʊ̯ n̪ɐ ˈbaː.lɐ
kusa	ˈkuː.sɐʔ
antipalo	ʔɐn̪.t̪ɪˈpaː.lo
kwekong	ˈkwɛː.xoŋ
upahan	ʔʊˈpaː.hɐn̪
liho	ˈliː.hoʔ
nakaaalarma	n̪ɐ.xɐˌʔaː.ʔɐˈlaɾ.mɐ
takdang	t̪ɐkˈd̪aŋ
alpargatas	ʔɐl.pɐɾˈɡaː.t̪ɐs
sibuyas-bumbay	sɪˌbuː.jɐs bʊmˈbaɪ̯
tighaba	t̪ɪɡ.hɐˈbaʔ
salangit	sɐˈlaː.ŋɪt̪̚
maduwal	mɐˈd̪wal
komandante	ko.mɐn̪ˈd̪an̪.t̪ɛ
balimbing	bɐ.lɪmˈbɪŋ
tribo	ˈt̪ɾiː.bo
kahera	kɐˈhɛː.ɾɐ
sigaw	sɪˈɣaʊ̯
beynte kuwatro	ˌbeɪ̯n̪.t̪ɛ ˈkwat̪.ɾo
agri-bisnis	ˌʔaː.ɡɾɪ ˈbis.n̪ɪs
hakaw	ˈhaː.xaʊ̯
teleskopyo	t̪ɛ.lɛsˈkop.jo
kabuuran	kɐ.bʊ.ʔʊˈɾan̪
dalubhalman	d̪ɐ.lʊb.hɐlˈman̪
lawit na ang dila	lɐˌwɪt̪ n̪ɐ ʔɐn̪ ˈd̪iː.lɐʔ
plotilya	ploˈt̪il.jɐ
tungapik	t̪ʊˈŋaː.pɪk̚
antiparas	ʔɐn̪.t̪ɪˈpaː.ɾɐs
biyuna	ˈbjuː.n̪ɐʔ
primer ministro	pɾɪˌmɛɾ mɪˈn̪is.t̪ɾo
lulan	ˈluː.lɐn̪
malakeso	mɐ.lɐˈxɛː.so
makamundo	mɐ.xɐ.mʊn̪ˈd̪o
tahid	t̪ɐˈhɪd̪̚
ligid	ˈliː.ɣɪd̪̚
enye	ˈʔɛː.ɲɛ
impalasto	ʔɪm.pɐˈlas.t̪o
guhitin	ɡʊˈhiː.t̪ɪn̪
dyobos	ˈd͡ʒoː.bos
yerbabuwena	ˌjɛɾ.bɐˈbwɛː.n̪ɐ
amama	ʔɐˈmaː.mɐ
manika	mɐˈn̪iː.xɐʔ
tikitiki	t̪ɪ.xɪˈt̪iː.xɪ
edipisyo	ʔɛ.d̪ɪˈpiː.ʃo
eskorsonera	ʔɛs.koɾ.soˈn̪ɛː.ɾɐ
maldita	mɐlˈd̪iː.t̪ɐ
pataasan	ˌpaː.t̪ɐˈʔaː.sɐn̪
layn-ap	ˌlaɪ̯n̪ ˈʔap̚
prominente	pɾo.mɪˈn̪ɛn̪.t̪ɛ
rali	ˈɾaː.lɪ
karaniwang kababaang parirami	kɐ.ɾɐˌn̪iː.wɐŋ kɐ.bɐˌbaː.ʔɐm pɐ.ɾɪˈɾaː.mɪ
magmamaruya	mɐɡ.mɐ.mɐ.ɾʊˈjaʔ
disperas	ˌd̪is.pɛˈɾas
balakil	bɐˈlaː.xɪl
layaging-ginoo	lɐ.jɐˌɣɪŋ ɡɪˈn̪oː.ʔo
tatlumpu't walo	t̪ɐt̪.l̪ʊmˌpʊt̪ wɐˈlo
pagitan	pɐˈɣiː.t̪ɐn̪
baitang	bɐ.ʔɪˈt̪aŋ
talimaras	t̪ɐ.lɪ.mɐˈɾas
degri	d̪ɛɡˈɾɪ
samgiyupsal	ˌsam.ɡjʊpˈsal
perpeksiyon	pɛɾ.pɛkˈʃon̪
palos	pɐˈlos
ada	ˈʔaː.d̪ɐ
programa	pɾoɡˈɾaː.mɐ
luses	ˈluː.sɛs
langaw	ˈlaː.ŋaʊ̯
testigo	t̪ɛsˈt̪iː.ɣo
golpe	ˈɡol.pɛ
estasyon	ʔɛs.t̪ɐˈʃon̪
karakoa	kɐ.ɾɐˈxoː.wɐ
elemento	ʔɛ.lɛˈmɛn̪.t̪o
sampuo	sɐm.pʊˈʔoʔ
baboy-baboy	bɐˌboɪ̯ bɐˈboɪ̯
pusit	pʊˈsɪt̪̚
tagaigib	t̪ɐ.ɣɐ.ʔɪˈɣɪb̚
mag-imprenta	mɐɡ.ʔɪmˈpɾɛn̪.t̪ɐ
langal	lɐˈŋal
halo	ˈhaː.loʔ
gabihin	ɡɐ.bɪˈhɪn̪
manundot	mɐ.n̪ʊn̪ˈd̪ot̪̚
piryud	ˈpiɾ.jʊd̪̚
supling	sʊpˈlɪŋ
malikot ang kamay	mɐ.lɪˌxot̪ ʔɐŋ kɐˈmaɪ̯
haula	ˈhaʊ̯.lɐ
gulung-gulungan	ɡʊˌlʊŋ ɡʊˈluː.ŋɐn̪
kodigo sibil	ˌkoː.d̪ɪˌɣo sɪˈbɪl
ispontanyo	ʔɪs.pon̪ˈt̪aː.ɲo
danum	d̪ɐˈn̪ʊm
mabula	mɐ.bʊˈlaʔ
tangile	t̪ɐˈŋiː.lɛ
taguling	t̪ɐ.ɣʊˈlɪŋ
wala kang pakialam	wɐˌlaʔ ˌkam pɐ.xɪ.ʔɐˈlam
daong-daungan	d̪ɐˌʔon̪.d̪ɐˈʔuː.ŋɐn̪
itala	ʔɪ.t̪ɐˈlaʔ
bulabugin	bʊ.lɐˈbuː.ɣɪn̪
langhapan	lɐŋˈhaː.pɐn̪
umibig	ʔʊˈmiː.bɪɡ̚
kadena	kɐˈd̪ɛː.n̪ɐ
hirin	ˈhiː.ɾɪn̪
karnabal	kɐɾ.n̪ɐˈbal
matubig	mɐˈt̪uː.bɪɡ̚
komputerisado	kom.pʊ.t̪ɛ.ɾɪˈsaː.d̪o
barko	bɐɾˈko
hubog	ˈhuː.boɡ̚
buhay ang loob	bʊˌhaɪ̯ ʔɐn̪ loˈʔob̚
maghuramentado	mɐɡ.hʊ.ɾɐ.mɛn̪ˈt̪aː.d̪o
abat	ʔɐˈbat̪̚
boses	ˈboː.sɛs
buto	bʊˈt̪o
kalinangan	kɐ.lɪ.n̪ɐˈŋan̪
tiple	ˈt̪ip.lɛ
tayubasi	t̪ɐ.jʊˈbaː.sɪ
bigamiya	bɪ.ɣɐˈmiː.jɐ
mga	mɐˈŋa
sunod-sunod	sʊˌn̪od̪ sʊˈn̪od̪̚
mapagkunwari	mɐ.pɐɡ.kʊn̪.wɐˈɾɪʔ
kababawan	kɐ.bɐˈbaː.wɐn̪
lader	ˈlaː.d̪ɛɾ
datibo	d̪ɐˈt̪iː.bo
aksyom	ˈʔak.ʃom
kulas	ˈkuː.lɐs
aneksiyonismo	ʔɐ.n̪ɛk.ʃoˈn̪is.mo
karamelo	kɐ.ɾɐˈmɛː.lo
maiitim	mɐ.ʔɪ.ʔɪˈt̪ɪm
sagubang	sɐ.ɣʊˈbaŋ
sorpresa	soɾˈpɾɛː.sɐ
guwang	ˈɡwaŋ
albardilya	ʔɐl.bɐɾˈd̪il.jɐ
istrowk	ʔɪsˈt̪ɾoʊ̯k
dhikr	ˈd̪iː.xɪɾ
gulyerya	ɡʊlˈjɛɾ.jɐ
umapaw	ʔʊˈmaː.paʊ̯
piseta	pɪˈsɛː.t̪ɐ
eyrosol	ˌʔeɪ̯.ɾoˈsol
pahalagahan	pɐ.hɐ.lɐ.ɣɐˈhan̪
klinika	ˌkliː.n̪ɪˈxa
sandata	sɐn̪ˈd̪aː.t̪ɐ
almendra	ʔɐlˈmɛn̪.d̪ɾɐ
danumbiling	d̪ɐ.n̪ʊm.bɪˈlɪŋ
kokwa	ˈkok.wɐ
ungot	ʔʊˈŋot̪̚
salawal	sɐ.lɐˈwal
huwego	ˈhwɛː.ɣo
iwi	ˈʔiː.wɪ
pangangasiwang pambayan	pɐ.ŋɐ.ŋɐˌsiː.wɐm pɐmˈbaː.jɐn̪
musulman	mʊ.sʊlˈman̪
bulabog	bʊˈlaː.boɡ̚
lambi	lɐmˈbɪʔ
mang-inis	mɐŋ.ʔɪˈn̪ɪs
basa	ˈbaː.sɐ
but-o	bʊt̪ˈʔo
itlog-na-maalat	ʔɪt̪ˌl̪oɡ n̪ɐ mɐˈʔaː.lɐt̪̚
buksan	bʊkˈsan̪
taluiryap	t̪ɐ.lʊ.ʔɪɾˈjap̚
bentrilokya	bɛn̪.t̪ɾɪˈlok.jɐ
pemenino	pɛ.mɛˈn̪iː.n̪o
i-xerox	ʔɪˈsɛː.ɾoks
manindigan	mɐ.n̪ɪn̪ˈd̪iː.ɣɐn̪
konde	ˈkon̪.d̪ɛ
pamumuhay	pɐ.mʊˈmuː.haɪ̯
parang wala nang bukas	ˌpaː.ɾɐŋ wɐˌlaʔ n̪ɐm ˈbuː.xɐs
barikada	bɐ.ɾɪˈxaː.d̪ɐ
tiplag	t̪ɪpˈlaɡ̚
pakonsuwelo	pɐ.xon̪ˈswɛː.lo
shahada	ʃɐˈhaː.d̪ɐ
huego	ˈhwɛː.ɣo
boya	ˈboː.jɐ
barumbado	bɐ.ɾʊmˈbaː.d̪o
gramar	ˈɡɾaː.mɐɾ
magngalit	mɐɡˈŋaː.lɪt̪̚
ringring	ɾɪŋˈɾɪŋ
lakbay	lɐkˈbaɪ̯
pakahulugan	pɐ.xɐ.hʊ.lʊˈɣan̪
dinagipik	d̪ɪ.n̪ɐˈɣiː.pɪk̚
parausan	ˌpaː.ɾɐ.ʔʊˈsan̪
alburnos	ʔɐl.bʊɾˈn̪os
sulaman	sʊˈlaː.mɐn̪
hudasin	hʊˈd̪aː.sɪn̪
emosyonal	ʔɛ.mo.ʃoˈn̪al
karilyon	kɐ.ɾɪlˈjon̪
mang-asar	mɐŋ.ʔɐˈsaɾ
de-ilo	d̪ɛ ˈʔiː.lo
apostrofi	ʔɐˌpos.t̪ɾoˈfɪ
molestiya	moˈlɛs.t͡ʃɐ
magpari	mɐɡˈpaː.ɾɪʔ
perito	pɛˈɾiː.t̪o
malayang loob	mɐˌlaː.jɐn̪ loˈʔob̚
adyudikasyon	ʔɐd.d͡ʒʊ.d̪ɪ.xɐˈʃon̪
sukong	ˈsuː.xoŋ
sadagipikan	sɐˌd̪aː.ɣɪ.pɪˈxan̪
akumulado	ʔɐ.xʊ.mʊˈlaː.d̪o
rami	ˈɾaː.mɪ
aguwa	ˈʔaː.ɡwɐ
po	ˈpoʔ
probinsiya	pɾoˈbin̪.ʃɐ
kapitalistiko	kɐ.pɪ.t̪ɐˌlis.t̪ɪˈxo
tiyahin	ˈt͡ʃaː.hɪn̪
mabait	mɐ.bɐˈʔɪt̪̚
busyador	bʊ.ʃɐˈd̪oɾ
dibidend	ˌd̪iː.bɪˈd̪ɛn̪d̪
bukot	bʊˈxot̪̚
kwitis	ˈkwiː.t̪ɪs
hudiyo	hʊˈd̪iː.jo
trabaho	t̪ɾɐˈbaː.ho
walongdaan	wɐ.lon̪.d̪ɐˈʔan̪
kusinero	kʊ.sɪˈn̪ɛː.ɾo
eskapularyo	ʔɛs.kɐ.pʊˈlaɾ.jo
ayon	ˈʔaː.jon̪
patag	ˈpaː.t̪ɐɡ̚
leon	lɛˈjon̪
embelop	ˌʔɛm.bɛˈlop̚
almwadilya	ʔɐl.mwɐˈd̪il.jɐ
muchang-muchang	mʊtˌt͡ʃaŋ mʊtˈt͡ʃaŋ
ipagtanggol	ʔɪ.pɐɡ.t̪ɐŋˈɡol
dalubmayawan	d̪ɐ.lʊb.mɐˈjaː.wɐn̪
salungki	sɐ.lʊŋˈkɪʔ
hegemoniya	hɛ.ɣɛ.moˈn̪iː.jɐ
otso	ˈʔoː.t͡ʃo
internado	ʔɪn̪.t̪ɛɾˈn̪aː.d̪o
lako	ˈlaː.xoʔ
hanger	ˈhaː.ŋɛɾ
kuwerdas	ˈkwɛɾ.d̪ɐs
salitre	sɐˈlit̪.ɾɛ
giba	ɡɪˈbaʔ
magbukid	mɐɡˈbuː.xɪd̪̚
badya	bɐdˈd͡ʒa
sulinaw	sʊˈliː.n̪aʊ̯
suyo	ˈsuː.joʔ
katigan	kɐˈt̪iː.ɣɐn̪
magsibuyas	mɐɡ.sɪˈbuː.jɐs
aspin	ˈʔas.pɪn̪
prestihiyoso	pɾɛs.t̪ɪˈhjoː.so
gariya	ɡɐˈɾiː.jɐʔ
tanungin	t̪ɐ.n̪ʊˈŋɪn̪
sukal	ˈsuː.xɐl
sulitin	sʊˈliː.t̪ɪn̪
krokodilyo	kɾo.xoˈd̪il.jo
aduwa	ʔɐˈd̪uː.wɐʔ
hinggil	hɪŋˈɡɪl
maharos	mɐ.hɐˈɾos
kombo	ˈkom.bo
pagbawalan	pɐɡ.bɐˈwaː.lɐn̪
ikalabing-isa	ʔɪ.xɐ.lɐˌbiŋ.ʔɪˈsa
awa	ˈʔaː.wɐʔ
kaunti	kɐ.ʔʊn̪ˈt̪ɪʔ
magkanya-kanya	mɐɡ.kɐnˌɲa xɐnˈɲa
kaaya-aya	kɐˌʔaː.jɐ ˈʔaː.jɐ
tagahanga	t̪ɐ.ɣɐˈhaː.ŋɐʔ
five-six	ˌfaɪ̯v ˈsɪks
makoryente	mɐ.xoɾˈjɛn̪.t̪ɛ
tin-is	t̪ɪn̪ˈʔɪs
kardenal	kɐɾ.d̪ɛˈn̪al
muwak	ˈmwak̚
biyopisika	bjoˌpiː.sɪˈxa
sunson	sʊn̪ˈson̪
kupo	ˈkuː.poʔ
atlo	ʔɐt̪ˈl̪o
pulas	pʊˈlas
dukado	d̪ʊˈxaː.d̪o
abarisya	ʔɐ.bɐˈɾiː.ʃɐ
misayl	ˈmiː.saɪ̯l
kuyumad	kʊ.jʊˈmad̪̚
magko-comment	mɐɡ.koˈxoː.mɛn̪t̪
pamandewang	pɐ.mɐn̪ˈd̪ɛː.wɐŋ
satambal	sɐ.t̪ɐmˈbal
pamamalahiyo	pɐ.mɐ.mɐˈlaː.hjo
prinsipe	ˌpɾin̪.sɪˈpɛ
arkanghel	ʔɐɾ.kɐŋˈhɛl
nanay	ˈn̪aː.n̪aɪ̯
utdo	ʔʊt̪ˈd̪o
antipatya	ʔɐn̪.t̪ɪ.pɐtˈt͡ʃa
kathambuhay	kɐt̪ˌhamˈbuː.haɪ̯
nanaman	n̪ɐ.n̪ɐˈman̪
reklasipikasyon	ɾɛk.lɐ.sɪ.pɪ.xɐˈʃon̪
alternatibo	ʔɐl.t̪ɛɾ.n̪ɐˈt̪iː.bo
prisma	ˈpɾis.mɐ
kontsaba	kon̪ˈt͡ʃaː.bɐ
aamyendahan	ˌʔaː.ʔɐmˌjɛn̪.d̪ɐˈhan̪
iilan	ˌʔiː.ʔɪˈlan̪
gapok	ɡɐˈpok̚
kalyos	kɐlˈjos
teodisiya	t̪ɛ.jo.d̪ɪˈsiː.jɐ
a treynta y uno	ʔɐ ˌt̪ɾeɪ̯n̪.t̪ɐ ʔɪ ˈʔuː.n̪o
mapanakit	mɐ.pɐ.n̪ɐˈxɪt̪̚
sasama	sɐˈsaː.mɐ
operasyon	ʔo.pɛ.ɾɐˈʃon̪
bomba	ˈbom.bɐ
magpa-checkup	ˌmaɡ.pɐ ˈt͡ʃɛk.ʔɐp̚
beripika	bɛ.ɾɪ.pɪˈxa
pak	ˈpak̚
purihin	pʊˈɾiː.hɪn̪
mataray	mɐˈt̪aː.ɾaɪ̯
ipokrita	ʔɪˌpok.ɾɪˈt̪a
pisaw	pɪˈsaʊ̯
pagputok	pɐɡ.pʊˈt̪ok̚
katorse	kɐˈt̪oɾ.sɛ
agwela	ʔɐɡˈwɛː.lɐ
sanggano	ˌsaŋ.ɡɐˈn̪o
banwa	ˈban̪.wɐ
maarte	mɐˈʔaɾ.t̪ɛ
sayantist	ˌsaː.jɐn̪ˈt̪ɪst̪
impenyo	ʔɪmˈpɛː.ɲo
bulbol	bʊlˈbol
pawpaw	paʊ̯ˈpaʊ̯
maglolo	mɐɡˈloː.lo
mamasa	mɐ.mɐˈsaʔ
siwang	ˈsiː.wɐŋ
bawas	ˈbaː.wɐs
maglako	mɐɡˈlaː.xoʔ
sentensiyador	sɛn̪.t̪ɛn̪.ʃɐˈd̪oɾ
borta	ˈboɾ.t̪ɐ
kunsintidor	kʊn̪.sɪn̪.t̪ɪˈd̪oɾ
asetiko	ʔɐˌsɛː.t̪ɪˈxo
beynte	ˈbeɪ̯n̪.t̪ɛ
aklimata	ʔɐ.klɪ.mɐˈt̪a
isinasaayos	ʔɪ.sɪˌn̪aː.sɐˈʔaː.jos
santolan	sɐn̪ˈt̪oː.lɐn̪
palibhasa	pɐ.lɪbˈhaː.sɐʔ
haciendera	hɐ.ʃɛn̪ˈd̪ɛː.ɾɐ
meme	ˈmɛː.mɛ
karnerong-dagat	kɐɾˌn̪ɛː.ɾon̪ ˈd̪aː.ɣɐt̪̚
ermat	ˈʔɛɾ.mɐt̪̚
bisiro	bɪˈsiː.ɾo
krisantemo	kɾɪ.sɐn̪ˈt̪ɛː.mo
kuwan	ˈkwan̪
akompanista	ʔɐ.xom.pɐˈn̪is.t̪ɐ
sinungaling	sɪ.n̪ʊˈŋaː.lɪŋ
sirit	ˈsiː.ɾɪt̪̚
nayon	ˈn̪aː.jon̪
estatistika	ʔɛs.t̪ɐˌt̪is.t̪ɪˈxa
sumabog	sʊˈmaː.boɡ̚
iskandalo	ʔɪsˌkan̪.d̪ɐˈlo
silam	ˈsiː.lɐm
lagay	lɐˈɣaɪ̯
selos	ˈsɛː.los
paghanga	pɐɡˈhaː.ŋɐʔ
panggagahasa	pɐŋ.ɡɐ.ɣɐˈhaː.sɐʔ
kandoy	kɐn̪ˈd̪oɪ̯
guhit-palad	ˌɡuː.hɪt̪ ˈpaː.lɐd̪̚
katinig	kɐˈt̪iː.n̪ɪɡ̚
aklimatisasyon	ʔɐ.klɪ.mɐ.t̪ɪ.sɐˈʃon̪
librito	lɪˈbɾiː.t̪o
ketong	ˈkɛː.t̪oŋ
sangke	sɐŋˈkɛʔ
kalkulasyon	kɐl.kʊ.lɐˈʃon̪
dilaw	d̪ɪˈlaʊ̯
analpabeto	ʔɐ.n̪ɐl.pɐˈbɛː.t̪o
bakante	bɐˈxan̪.t̪ɛ
tiningalaan	t̪ɪ.n̪ɪ.ŋɐ.lɐˈʔan̪
agunias	ʔɐ.ɣʊˈn̪iː.jɐs
yahod	ˈjaː.hod̪̚
kati	kɐˈt̪ɪ
birimbaw	bɪ.ɾɪmˈbaʊ̯
alindog	ʔɐ.lɪn̪ˈd̪oɡ̚
palaruan	ˌpaː.lɐˈɾuː.ʔɐn̪
epistola	ʔɛˌpis.t̪oˈla
magdroga	mɐɡˈd̪ɾoː.ɣɐ
sandaigdigan	sɐn̪.d̪ɐ.ʔɪɡˈd̪iː.ɣɐn̪
mamamayan	ˌmaː.mɐ.mɐˈjan̪
manawa	mɐˈn̪aː.wɐʔ
tomboy	ˈt̪om.boɪ̯
tabugi	t̪ɐ.bʊˈɣɪʔ
bitad	bɪˈt̪ad̪̚
agham-tao	ʔɐɡˌham ˈt̪aː.ʔo
patay-salang	pɐˌt̪aɪ̯ sɐˈlaŋ
pugok	pʊˈɣok̚
sakrilehiyo	sɐk.ɾɪˈlɛː.hjo
paaralan	ˌpaː.ʔɐ.ɾɐˈlan̪
bigamya	bɪˈɣam.jɐ
bugnitbugnit	bʊɡ.n̪ɪt̪.bʊɡˈn̪ɪt̪̚
sapupo	sɐˈpuː.po
mananawid	ˌmaː.n̪ɐˈn̪aː.wɪd̪̚
mabigat ang paa	mɐ.bɪˌɣat̪ ʔɐm pɐˈʔa
siyam-siyam	ˌʃam ˈʃam
akropobya	ʔɐ.kɾoˈpob.jɐ
salapot	sɐˈlaː.pot̪̚
konekta	ko.n̪ɛkˈt̪a
lukbanan	lʊkˈbaː.n̪ɐn̪
pribatisasyon	pɾɪ.bɐ.t̪ɪ.sɐˈʃon̪
pitumpu't tatlo	pɪ.t̪ʊmˌpʊt̪ t̪ɐt̪ˈl̪o
tawag-pamitagan	ˌt̪aː.wɐɡ pɐ.mɪˈt̪aː.ɣɐn̪
kung ano ang itinanim, siya rin ang aanihin	kʊŋ ʔɐˌn̪o ʔɐŋ ʔɪ.t̪ɪ.n̪ɐˌn̪ɪm | ˌʃa ˌɾɪn̪ ʔɐŋ ˌʔaː.ʔɐˈn̪iː.hɪn̪
lungos	ˈluː.ŋos
ikanga	ʔɪˈxaː.ŋɐʔ
sinat	ˈsiː.n̪ɐt̪̚
dapli	d̪ɐpˈlɪʔ
bamban	bɐmˈban̪
walang-sala	wɐˌlan̪ ˈsaː.lɐ
brodkaster	ˌbɾod̪ˈkas.t̪ɛɾ
tabag	ˈt̪aː.bɐɡ̚
kandado	kɐn̪ˈd̪aː.d̪o
oraryo	ʔoˈɾaɾ.jo
tagaluto	t̪ɐ.ɣɐˈluː.t̪oʔ
linga	lɪˈŋa
gusot	ɡʊˈsot̪̚
kubyertos	kʊbˈjɛɾ.t̪os
pasiglahin	pɐ.sɪɡ.lɐˈhɪn̪
aklasang bayan	ʔɐkˌlaː.sɐm ˈbaː.jɐn̪
penikado	pɛ.n̪ɪˈxaː.d̪o
kakahiyan	ˌkaː.xɐˈhjan̪
lunsad-aklat	lʊn̪ˌsad̪ ʔɐkˈlat̪̚
kromatina	kɾo.mɐˈt̪iː.n̪ɐ
hulmahin	hʊl.mɐˈhɪn̪
magprodukto	mɐɡ.pɾoˈd̪uk.t̪o
termino	ˌt̪ɛɾ.mɪˈn̪o
babala	bɐ.bɐˈlaʔ
talasalitaan	t̪ɐˌlaː.sɐ.lɪˈt̪aː.ʔɐn̪
sopas	ˈsoː.pɐs
gansa	ɡɐn̪ˈsaʔ
bulalas	bʊ.lɐˈlas
huw	ˈhʊw
eypron	ˈʔeɪ̯.pɾon̪
hatid	hɐˈt̪ɪd̪̚
pugante	pʊˈɣan̪.t̪ɛ
pransesa	pɾɐn̪ˈsɛː.sɐ
sustantibo	sʊs.t̪ɐn̪ˈt̪iː.bo
puliagan	pʊ.lɪˈʔaː.ɣɐn̪
koronang tinik	koˌɾoː.n̪ɐn̪ t̪ɪˈn̪ɪk̚
alo	ˈʔaː.loʔ
alatwat	ʔɐ.lɐt̪ˈwat̪̚
birit	ˈbiː.ɾɪt̪̚
parmasiya	pɐɾˈmaː.ʃɐ
pusturyosa	pʊs.t̪ʊɾˈjoː.sɐ
kagahapon	kɐ.ɣɐˈhaː.pon̪
laboratoryo	lɐ.bo.ɾɐˈt̪oɾ.jo
padre de-pamilya	ˌpad̪.ɾɛ d̪ɛ pɐˈmil.jɐ
me	ˈmɛʔ
komprehensibo	kom.pɾɛ.hɛn̪ˈsiː.bo
siping	ˈsiː.pɪŋ
debosyon	d̪ɛ.boˈʃon̪
dulas	d̪ʊˈlas
aklamado	ʔɐ.klɐˈmaː.d̪o
kasoy	kɐˈsoɪ̯
palaban	pɐ.lɐˈban̪
magproseso	mɐɡ.pɾoˈsɛː.so
saynete	saɪ̯ˈn̪ɛː.t̪ɛ
sinag	ˈsiː.n̪ɐɡ̚
kalikasan	kɐ.lɪˈxaː.sɐn̪
videohan	ˌviː.d͡ʒoˈhan̪
kuryentihin	kʊɾˌjɛn̪.t̪ɪˈhɪn̪
kristo	ˈkɾis.t̪o
rasyonalista	ɾɐ.ʃo.n̪ɐˈlis.t̪ɐ
timbanin	t̪ɪmˈbaː.n̪ɪn̪
magkamabutihan	mɐɡ.kɐ.mɐ.bʊ.t̪ɪˈhan̪
bitak	bɪˈt̪ak̚
asebo	ʔɐˈsɛː.bo
alpabetisahin	ʔɐl.pɐ.bɛ.t̪ɪ.sɐˈhɪn̪
kampo ng kamatayan	ˌkam.po n̪ɐŋ kɐ.mɐˈt̪aː.jɐn̪
balot sa puti	bɐˌlot̪ sɐ pʊˈt̪ɪʔ
adoratris	ʔɐ.d̪o.ɾɐˈt̪ɾɪs
siyensiya	ˈʃɛn̪.ʃɐ
tawo	ˈt̪aː.wo
nakakahawa	n̪ɐˌxaː.xɐˈhaː.wɐ
basa ang papel	bɐˌsaʔ ʔɐm pɐˈpɛl
bilding	ˈbil.d̪ɪŋ
paghahayupan	pɐɡ.hɐ.hɐˈjuː.pɐn̪
sota	ˈsoː.t̪ɐ
dabdab	d̪ɐbˈd̪ab̚
gunita	ɡʊ.n̪ɪˈt̪aʔ
ermats	ˈʔɛɾ.mɐt̪s
deskaril	d̪ɛs.kɐˈɾɪl
ikyan	ʔɪkˈjan̪
mawalang-galang	mɐ.wɐˌlaŋ ˈɡaː.lɐŋ
ipatay	ʔɪ.pɐˈt̪aɪ̯
paletada	pɐ.lɛˈt̪aː.d̪ɐ
suriing sukgisan	sʊˌɾiː.ʔɪn̪ sʊkˈɡiː.sɐn̪
babay	ˈbaː.baɪ̯
plahelo	plɐˈhɛː.lo
kulayputol	kʊ.laɪ̯ˈpuː.t̪ol
tobalats	t̪o.bɐˈlat̪s
tseklist	ˈt͡ʃɛk.lɪst̪
literet	ˌliː.t̪ɛˈɾɛt̪̚
solisitor heneral	soˌliː.sɪˌt̪oɾ hɛ.n̪ɛˈɾal
magpawid	mɐɡˈpaː.wɪd̪̚
pinapaletadahan	pɪ.n̪ɐ.pɐ.lɛ.t̪ɐˈd̪aː.hɐn̪
matimpi	mɐ.t̪ɪmˈpɪʔ
amalgamasyon	ʔɐ.mɐl.ɡɐ.mɐˈʃon̪
krisma	ˈkɾis.mɐ
